Scenario,Controller,Avg Wait (s),Avg Queue,Throughput (veh/h),Travel Time (s),Fuel (L),CO2 (g),Source
Low,Fixed,9.0,6.0,1440.0,24.0,0.51,1219.92,simulation_proxy
Low,Adaptive,9.375,6.0,1440.0,24.375,0.5139,1228.88,simulation_proxy
Low,QUBO Exact,8.55,6.0,1440.0,23.55,0.5055,1209.15,simulation_proxy
Low,QAOA,9.35,6.0,1440.0,24.35,0.5135,1228.29,simulation_proxy
Normal,Fixed,12.176,17.25,4140.0,27.165,1.1512,2753.79,simulation_proxy
Normal,Adaptive,12.135,17.25,4140.0,27.142,1.1504,2751.7,simulation_proxy
Normal,QUBO Exact,11.529,17.25,4140.0,26.57,1.1375,2720.9,simulation_proxy
Normal,QAOA,11.235,17.25,4140.0,26.3,1.1313,2705.95,simulation_proxy
High,Fixed,13.411,33.75,5640.0,28.392,2.0917,5003.47,simulation_proxy
High,Adaptive,12.95,33.75,6510.0,27.945,2.0743,4961.9,simulation_proxy
High,QUBO Exact,12.874,33.75,6660.0,27.935,2.0715,4955.03,simulation_proxy
High,QAOA,12.874,33.75,6660.0,27.935,2.0715,4955.03,simulation_proxy
Emergency,QUBO (Emergency Priority),12.0,17.25,4080.0,27.07,1.1475,2744.81,simulation_proxy
Accident (J2),QUBO (Event-Adapted),11.529,17.25,4140.0,26.57,1.1375,2720.9,simulation_proxy
