scenario,seed,controller,solver,simulation_duration_seconds,total_vehicles,average_waiting_time_seconds,total_waiting_time_seconds,average_queue_length,maximum_queue_length,throughput_vehicles_per_hour,average_travel_time_seconds,total_fuel_consumption_litres,total_co2_emissions_grams,solver_runtime_seconds,qaoa_recovery_rate,qaoa_objective_gap,delta_avg_waiting_time,delta_avg_queue,delta_throughput,delta_travel_time,delta_fuel,delta_co2
Low,42,Fixed-Time,fixed,60.0,4,0.0,0.0,2.2,1,240.0,15.0,0.4896,1125.11,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,42,Classical Adaptive,classical_adaptive,60.0,4,0.0,0.0,2.2,1,240.0,15.0,0.4896,1125.11,0.00076,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,42,QUBO Exact,exact,60.0,4,0.0,0.0,2.433,1,240.0,15.0,0.4855,1115.79,0.00075,,,0.0,0.233,0.0,0.0,-0.0041,-9.32
Low,42,QAOA,qaoa,60.0,4,0.0,0.0,2.433,1,240.0,15.0,0.4855,1115.79,0.20817,1.0,0.0,0.0,0.233,0.0,0.0,-0.0041,-9.32
Low,101,Fixed-Time,fixed,60.0,4,0.0,0.0,2.217,1,240.0,15.0,0.5095,1170.93,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,101,Classical Adaptive,classical_adaptive,60.0,4,0.0,0.0,2.217,1,240.0,15.0,0.5095,1170.93,0.00108,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,101,QUBO Exact,exact,60.0,4,0.0,0.0,2.383,1,240.0,15.0,0.4929,1132.73,0.00059,,,0.0,0.166,0.0,0.0,-0.0166,-38.2
Low,101,QAOA,qaoa,60.0,4,0.0,0.0,2.383,1,240.0,15.0,0.4929,1132.73,0.15971,1.0,0.0,0.0,0.166,0.0,0.0,-0.0166,-38.2
Low,202,Fixed-Time,fixed,60.0,4,0.0,0.0,2.083,1,240.0,15.0,0.5131,1179.16,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,202,Classical Adaptive,classical_adaptive,60.0,4,0.0,0.0,2.083,1,240.0,15.0,0.5131,1179.16,0.00081,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,202,QUBO Exact,exact,60.0,4,0.0,0.0,2.317,1,240.0,15.0,0.4832,1110.49,0.00095,,,0.0,0.234,0.0,0.0,-0.0299,-68.67
Low,202,QAOA,qaoa,60.0,4,0.0,0.0,2.317,1,240.0,15.0,0.4832,1110.49,0.17855,1.0,0.0,0.0,0.234,0.0,0.0,-0.0299,-68.67
Low,303,Fixed-Time,fixed,60.0,4,0.0,0.0,2.167,1,240.0,15.0,0.5125,1177.68,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,303,Classical Adaptive,classical_adaptive,60.0,4,0.0,0.0,2.167,1,240.0,15.0,0.5125,1177.68,0.00095,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,303,QUBO Exact,exact,60.0,4,0.0,0.0,2.383,1,240.0,15.0,0.4839,1111.98,0.00063,,,0.0,0.216,0.0,0.0,-0.0286,-65.7
Low,303,QAOA,qaoa,60.0,4,0.0,0.0,2.383,1,240.0,15.0,0.4839,1111.98,0.18919,1.0,0.0,0.0,0.216,0.0,0.0,-0.0286,-65.7
Low,404,Fixed-Time,fixed,60.0,4,0.0,0.0,2.117,1,240.0,15.0,0.5097,1171.26,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,404,Classical Adaptive,classical_adaptive,60.0,4,0.0,0.0,2.117,1,240.0,15.0,0.5097,1171.26,0.00088,,,0.0,0.0,0.0,0.0,0.0,0.0
Low,404,QUBO Exact,exact,60.0,4,0.0,0.0,2.4,1,240.0,15.0,0.4857,1116.05,0.00086,,,0.0,0.283,0.0,0.0,-0.024,-55.21
Low,404,QAOA,qaoa,60.0,4,0.0,0.0,2.4,1,240.0,15.0,0.4857,1116.05,0.16482,1.0,0.0,0.0,0.283,0.0,0.0,-0.024,-55.21
Normal,42,Fixed-Time,fixed,60.0,8,0.0,0.0,4.95,3,480.0,15.0,1.0045,2308.48,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Normal,42,Classical Adaptive,classical_adaptive,60.0,8,0.0,0.0,4.95,3,480.0,15.0,1.0045,2308.48,0.00082,,,0.0,0.0,0.0,0.0,0.0,0.0
