scenario,seed,intersection_id,step_time_seconds,solver,selected_phase_0_green_seconds,selected_phase_2_green_seconds,qubo_objective,exact_objective,objective_gap,relative_objective_gap,exact_optimum_recovered,runtime_seconds,circuit_depth_p,shots,valid,failure_reason
Low,42,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,3.18235,2,2048,True,
Low,42,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.65931,2,2048,True,
Low,42,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6219,2,2048,True,
Low,42,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.61604,2,2048,True,
Low,42,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63238,2,2048,True,
Low,42,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6604,2,2048,True,
Low,42,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64913,2,2048,True,
Low,42,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.71098,2,2048,True,
Low,42,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.52871,2,2048,True,
Low,42,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.64411,2,2048,True,
Low,42,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.60479,2,2048,True,
Low,42,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.6583,2,2048,True,
Low,42,J1,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.52663,2,2048,True,
Low,42,J2,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.58018,2,2048,True,
Low,42,J3,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.5737,2,2048,True,
Low,42,J4,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.57866,2,2048,True,
Low,101,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.50428,2,2048,True,
Low,101,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63082,2,2048,True,
Low,101,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.93052,2,2048,True,
Low,101,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.5998,2,2048,True,
Low,101,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56244,2,2048,True,
Low,101,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60189,2,2048,True,
Low,101,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58504,2,2048,True,
Low,101,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6101,2,2048,True,
Low,101,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.49025,2,2048,True,
Low,101,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.55498,2,2048,True,
Low,101,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.54249,2,2048,True,
Low,101,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.54996,2,2048,True,
Low,101,J1,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.50299,2,2048,True,
Low,101,J2,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.5975,2,2048,True,
Low,101,J3,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.60387,2,2048,True,
Low,101,J4,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.66403,2,2048,True,
Low,202,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59383,2,2048,True,
Low,202,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.8336,2,2048,True,
Low,202,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.68048,2,2048,True,
Low,202,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.6577,2,2048,True,
Low,202,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64998,2,2048,True,
Low,202,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.69043,2,2048,True,
Low,202,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.72881,2,2048,True,
Low,202,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.68547,2,2048,True,
Low,202,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.7342,2,2048,True,
Low,202,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.62001,2,2048,True,
Low,202,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.59799,2,2048,True,
Low,202,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.78695,2,2048,True,
Low,202,J1,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.51244,2,2048,True,
Low,202,J2,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.54796,2,2048,True,
Low,202,J3,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.57923,2,2048,True,
Low,202,J4,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.74973,2,2048,True,
Low,303,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57016,2,2048,True,
Low,303,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.76174,2,2048,True,
Low,303,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.8416,2,2048,True,
Low,303,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.79341,2,2048,True,
Low,303,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.99529,2,2048,True,
Low,303,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.74014,2,2048,True,
Low,303,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64154,2,2048,True,
Low,303,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63685,2,2048,True,
Low,303,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.66531,2,2048,True,
Low,303,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.71173,2,2048,True,
Low,303,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.77475,2,2048,True,
Low,303,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.56366,2,2048,True,
