scenario,controller,runs_count,avg_wait_mean,avg_wait_median,avg_wait_std,avg_wait_min,avg_wait_max,tot_wait_mean,tot_wait_median,tot_wait_std,tot_wait_min,tot_wait_max,avg_queue_mean,avg_queue_median,avg_queue_std,avg_queue_min,avg_queue_max,max_queue_mean,max_queue_median,max_queue_std,max_queue_min,max_queue_max,throughput_mean,throughput_median,throughput_std,throughput_min,throughput_max,travel_time_mean,travel_time_median,travel_time_std,travel_time_min,travel_time_max,fuel_mean,fuel_median,fuel_std,fuel_min,fuel_max,co2_mean,co2_median,co2_std,co2_min,co2_max,runtime_mean,runtime_median,runtime_std,runtime_min,runtime_max,delta_wait_mean,delta_wait_median,delta_wait_std,delta_wait_min,delta_wait_max,delta_queue_mean,delta_queue_median,delta_queue_std,delta_queue_min,delta_queue_max,delta_tp_mean,delta_tp_median,delta_tp_std,delta_tp_min,delta_tp_max,delta_travel_mean,delta_travel_median,delta_travel_std,delta_travel_min,delta_travel_max,delta_fuel_mean,delta_fuel_median,delta_fuel_std,delta_fuel_min,delta_fuel_max,delta_co2_mean,delta_co2_median,delta_co2_std,delta_co2_min,delta_co2_max,qaoa_total_decisions,qaoa_valid_decisions,qaoa_failed_decisions,qaoa_exact_optimum_recoveries,qaoa_exact_optimum_recovery_rate,qaoa_average_absolute_objective_gap,qaoa_average_relative_objective_gap
High,Classical Adaptive,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,7.333,0.1899,7.25,7.7,5.2,5.0,0.4472,5.0,6.0,720.0,720.0,0.0,720.0,720.0,15.0,15.0,0.0,15.0,15.0,1.7025,1.7034,0.0182,1.6739,1.72,3912.462,3914.6,41.8342,3846.79,3952.64,0.0007,0.0007,0.0001,0.0006,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
High,Fixed-Time,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,7.333,0.1899,7.25,7.7,5.2,5.0,0.4472,5.0,6.0,720.0,720.0,0.0,720.0,720.0,15.0,15.0,0.0,15.0,15.0,1.7025,1.7034,0.0182,1.6739,1.72,3912.462,3914.6,41.8342,3846.79,3952.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
High,QAOA,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6732,7.5,0.2932,7.417,8.083,6.4,6.0,0.5477,6.0,7.0,456.0,480.0,32.8634,420.0,480.0,15.0,15.0,0.0,15.0,15.0,1.691,1.6819,0.0171,1.676,1.7148,3885.93,3864.96,39.3582,3851.5,3940.77,0.1576,0.1592,0.0054,0.1506,0.1625,0.0,0.0,0.0,0.0,0.0,0.2632,0.233,0.2152,-0.017,0.55,-264.0,-240.0,32.8634,-300.0,-240.0,0.0,0.0,0.0,0.0,0.0,-0.0115,-0.0167,0.0125,-0.0229,0.005,-26.532,-38.47,28.909,-52.69,11.46,80,80,0,70,0.875,0.159974,0.103773
High,QUBO Exact,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6732,7.5,0.2932,7.417,8.083,6.4,6.0,0.5477,6.0,7.0,456.0,480.0,32.8634,420.0,480.0,15.0,15.0,0.0,15.0,15.0,1.691,1.6819,0.0171,1.676,1.7148,3885.93,3864.96,39.3582,3851.5,3940.77,0.0006,0.0006,0.0,0.0006,0.0006,0.0,0.0,0.0,0.0,0.0,0.2632,0.233,0.2152,-0.017,0.55,-264.0,-240.0,32.8634,-300.0,-240.0,0.0,0.0,0.0,0.0,0.0,-0.0115,-0.0167,0.0125,-0.0229,0.005,-26.532,-38.47,28.909,-52.69,11.46,,,,,,,
Low,Classical Adaptive,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1568,2.167,0.0562,2.083,2.217,1.0,1.0,0.0,1.0,1.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,0.5069,0.5097,0.0098,0.4896,0.5131,1164.828,1171.26,22.5095,1125.11,1179.16,0.0009,0.0009,0.0001,0.0008,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Low,Fixed-Time,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1568,2.167,0.0562,2.083,2.217,1.0,1.0,0.0,1.0,1.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,0.5069,0.5097,0.0098,0.4896,0.5131,1164.828,1171.26,22.5095,1125.11,1179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Low,QAOA,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3832,2.383,0.0423,2.317,2.433,1.0,1.0,0.0,1.0,1.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,0.4862,0.4855,0.0039,0.4832,0.4929,1117.408,1115.79,8.8959,1110.49,1132.73,0.1801,0.1785,0.0195,0.1597,0.2082,0.0,0.0,0.0,0.0,0.0,0.2264,0.233,0.042,0.166,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0206,-0.024,0.0106,-0.0299,-0.0041,-47.42,-55.21,24.4081,-68.67,-9.32,80,80,0,80,1.0,0.0,0.0
Low,QUBO Exact,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3832,2.383,0.0423,2.317,2.433,1.0,1.0,0.0,1.0,1.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,0.4862,0.4855,0.0039,0.4832,0.4929,1117.408,1115.79,8.8959,1110.49,1132.73,0.0008,0.0008,0.0002,0.0006,0.0009,0.0,0.0,0.0,0.0,0.0,0.2264,0.233,0.042,0.166,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0206,-0.024,0.0106,-0.0299,-0.0041,-47.42,-55.21,24.4081,-68.67,-9.32,,,,,,,
Normal,Classical Adaptive,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0066,5.05,0.0777,4.9,5.083,3.0,3.0,0.0,3.0,3.0,480.0,480.0,0.0,480.0,480.0,15.0,15.0,0.0,15.0,15.0,1.0147,1.0194,0.0104,1.0025,1.024,2331.774,2342.66,23.7892,2303.78,2353.15,0.0007,0.0007,0.0001,0.0006,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Normal,Fixed-Time,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0066,5.05,0.0777,4.9,5.083,3.0,3.0,0.0,3.0,3.0,480.0,480.0,0.0,480.0,480.0,15.0,15.0,0.0,15.0,15.0,1.0147,1.0194,0.0104,1.0025,1.024,2331.774,2342.66,23.7892,2303.78,2353.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Normal,QAOA,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6168,5.6,0.0502,5.55,5.667,4.0,4.0,0.0,4.0,4.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,1.0268,1.0275,0.0095,1.0127,1.0361,2359.686,2361.2,21.7887,2327.31,2380.94,0.1599,0.1545,0.0124,0.1509,0.1815,0.0,0.0,0.0,0.0,0.0,0.6102,0.6,0.0962,0.517,0.767,-240.0,-240.0,0.0,-240.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0131,0.0066,0.0035,0.0207,27.912,30.14,15.1303,8.05,47.47,80,80,0,74,0.925,0.077656,0.065316
Normal,QUBO Exact,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6168,5.6,0.0502,5.55,5.667,4.0,4.0,0.0,4.0,4.0,240.0,240.0,0.0,240.0,240.0,15.0,15.0,0.0,15.0,15.0,1.0268,1.0275,0.0095,1.0127,1.0361,2359.686,2361.2,21.7887,2327.31,2380.94,0.0007,0.0006,0.0002,0.0006,0.001,0.0,0.0,0.0,0.0,0.0,0.6102,0.6,0.0962,0.517,0.767,-240.0,-240.0,0.0,-240.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0131,0.0066,0.0035,0.0207,27.912,30.14,15.1303,8.05,47.47,,,,,,,
